"id","apiKey","temperature","humidity","time"
2409420,"08WYKGTDWC8VUP7O",,,"2024-04-13T18:11:16.000Z"
2409420,"08WYKGTDWC8VUP7O",31.9,,"2024-04-13T18:10:43.000Z"
2409420,"08WYKGTDWC8VUP7O",31.9,,"2024-04-13T18:10:43.000Z"
2409420,"08WYKGTDWC8VUP7O",,,"2024-04-13T18:10:26.000Z"
2409420,"08WYKGTDWC8VUP7O",,62,"2024-04-13T18:10:10.000Z"
2409420,"08WYKGTDWC8VUP7O",32,,"2024-04-13T18:09:53.000Z"
2409420,"08WYKGTDWC8VUP7O",,,"2024-04-13T18:09:37.000Z"
2409420,"08WYKGTDWC8VUP7O",,62,"2024-04-13T18:09:20.000Z"
2409420,"08WYKGTDWC8VUP7O",32,,"2024-04-13T18:09:04.000Z"
2409420,"08WYKGTDWC8VUP7O",,,"2024-04-13T18:08:47.000Z"